C,SF,FA,SL,MK,Fine_Agg,Coarse_Agg,W,SP,L,D,Fiber_Volume_pct,CS,W_C_ratio,Total_Binder,Total_Fiber,SF_C_ratio,W_Binder_ratio,Fiber_Aspect_Ratio
572.0,0.0,0.0,0.0,0.0,795.0799999999999,623.48,200.2,1.43,50.0,1.0499790004199916,1.4904458598726114,51.1,0.3499999993881119,572.0,1.4904458598726114,0.0,0.3499999993881119,47.6199546467552
572.0,0.0,0.0,0.0,0.0,795.0799999999999,623.48,200.2,1.43,50.0,1.0499790004199916,1.9872611464968155,51.2,0.3499999993881119,572.0,1.9872611464968155,0.0,0.3499999993881119,47.6199546467552
572.0,0.0,0.0,0.0,0.0,795.0799999999999,623.48,200.2,1.43,35.0,0.5499685732243872,0.4968152866242038,45.9,0.3499999993881119,572.0,0.4968152866242038,0.0,0.3499999993881119,63.639884284507545
572.0,0.0,0.0,0.0,0.0,795.0799999999999,623.48,200.2,1.43,35.0,0.5499685732243872,0.9936305732484076,43.0,0.3499999993881119,572.0,0.9936305732484076,0.0,0.3499999993881119,63.639884284507545
572.0,0.0,0.0,0.0,0.0,795.0799999999999,623.48,200.2,1.43,35.0,0.5499685732243872,1.4904458598726114,34.5,0.3499999993881119,572.0,1.4904458598726114,0.0,0.3499999993881119,63.639884284507545
572.0,0.0,0.0,0.0,0.0,795.0799999999999,623.48,200.2,1.43,35.0,0.5499685732243872,1.9872611464968155,41.4,0.3499999993881119,572.0,1.9872611464968155,0.0,0.3499999993881119,63.639884284507545
572.0,0.0,0.0,0.0,0.0,795.0799999999999,623.48,200.2,1.43,30.0,0.3799873337555414,0.4968152866242038,49.8,0.3499999993881119,572.0,0.4968152866242038,0.0,0.3499999993881119,78.94979223046347
572.0,0.0,0.0,0.0,0.0,795.0799999999999,623.48,200.2,1.43,30.0,0.3799873337555414,0.9936305732484076,43.8,0.3499999993881119,572.0,0.9936305732484076,0.0,0.3499999993881119,78.94979223046347
572.0,0.0,0.0,0.0,0.0,795.0799999999999,623.48,200.2,1.43,30.0,0.3799873337555414,1.4904458598726114,44.4,0.3499999993881119,572.0,1.4904458598726114,0.0,0.3499999993881119,78.94979223046347
572.0,0.0,0.0,0.0,0.0,795.0799999999999,623.48,200.2,1.43,30.0,0.3799873337555414,1.9872611464968155,36.7,0.3499999993881119,572.0,1.9872611464968155,0.0,0.3499999993881119,78.94979223046347
300.0,0.0,0.0,0.0,0.0,471.0,1026.0,162.0,0.0,0.0,0.0,0.0,24.4,0.5399999982,300.0,0.0,0.0,0.5399999982,0.0
300.0,0.0,0.0,0.0,0.0,471.0,1026.0,162.0,0.0,60.0,0.75,0.3821656050955414,22.5,0.5399999982,300.0,0.3821656050955414,0.0,0.5399999982,79.99989333347555
300.0,0.0,0.0,0.0,0.0,471.0,1026.0,162.0,0.0,60.0,0.75,0.7643312101910829,22.6,0.5399999982,300.0,0.7643312101910829,0.0,0.5399999982,79.99989333347555
385.0,0.0,0.0,0.0,0.0,446.6,981.75,169.4,0.0,0.0,0.0,0.0,34.8,0.43999999885714286,385.0,0.0,0.0,0.43999999885714286,0.0
385.0,0.0,0.0,0.0,0.0,446.6,981.75,169.4,0.0,60.0,0.75,0.3821656050955414,30.8,0.43999999885714286,385.0,0.3821656050955414,0.0,0.43999999885714286,79.99989333347555
385.0,0.0,0.0,0.0,0.0,446.6,981.75,169.4,0.0,60.0,0.75,0.7643312101910829,30.2,0.43999999885714286,385.0,0.7643312101910829,0.0,0.43999999885714286,79.99989333347555
320.0,0.0,0.0,0.0,0.0,768.0,1312.0,144.0,3.2,50.0,1.0,0.5,26.0,0.44999999859375,320.0,0.5,0.0,0.44999999859375,49.999950000050006
320.0,0.0,0.0,0.0,0.0,768.0,1312.0,144.0,3.2,50.0,1.0,1.5,29.0,0.44999999859375,320.0,1.5,0.0,0.44999999859375,49.999950000050006
160.0,0.0,160.0,0.0,0.0,769.5999999999999,1315.2,72.0,3.2,50.0,1.0,0.5,13.0,0.4499999971875,320.0,0.5,0.0,0.224999999296875,49.999950000050006
160.0,0.0,160.0,0.0,0.0,769.5999999999999,1315.2,72.0,3.2,50.0,1.0,1.5,15.0,0.4499999971875,320.0,1.5,0.0,0.224999999296875,49.999950000050006
450.0,0.0,0.0,0.0,0.0,900.0,1048.5,157.5,11.25,0.0,0.0,0.0,63.0,0.34999999922222225,450.0,0.0,0.0,0.34999999922222225,0.0
450.0,0.0,0.0,0.0,0.0,900.0,1048.5,157.5,12.5,60.0,0.75,0.249936305732484,67.0,0.34999999922222225,450.0,0.249936305732484,0.0,0.34999999922222225,79.99989333347555
450.0,0.0,0.0,0.0,0.0,900.0,1048.5,157.5,16.0,30.0,0.75,0.249936305732484,64.0,0.34999999922222225,450.0,0.249936305732484,0.0,0.34999999922222225,39.99994666673778
450.0,0.0,0.0,0.0,0.0,900.0,1048.5,157.5,13.75,60.0,0.75,0.7496815286624204,73.0,0.34999999922222225,450.0,0.7496815286624204,0.0,0.34999999922222225,79.99989333347555
450.0,0.0,0.0,0.0,0.0,900.0,1048.5,157.5,19.5,30.0,0.75,0.7496815286624204,72.0,0.34999999922222225,450.0,0.7496815286624204,0.0,0.34999999922222225,39.99994666673778
405.0,0.0,0.0,0.0,44.55,810.0,943.65,141.75,10.0,0.0,0.0,0.0,66.0,0.3499999991358025,449.55,0.0,0.0,0.3153153146139132,0.0
405.0,0.0,0.0,0.0,44.55,810.0,943.65,141.75,11.25,60.0,0.75,0.249936305732484,73.5,0.3499999991358025,449.55,0.249936305732484,0.0,0.3153153146139132,79.99989333347555
405.0,0.0,0.0,0.0,44.55,810.0,943.65,141.75,19.5,30.0,0.75,0.249936305732484,70.0,0.3499999991358025,449.55,0.249936305732484,0.0,0.3153153146139132,39.99994666673778
