C,SF,FA,SL,MK,Fine_Agg,Coarse_Agg,W,SP,L,D,Fiber_Volume_pct,CS,W_C_ratio,Total_Binder,Total_Fiber,SF_C_ratio,W_Binder_ratio,Fiber_Aspect_Ratio
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,30.0,0.5,0.5,76.02,0.33805309674680867,621.5,0.5,0.09999999982300885,0.3073209970920016,59.99988000024
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,30.0,0.5,1.0,78.48,0.33805309674680867,621.5,1.0,0.09999999982300885,0.3073209970920016,59.99988000024
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,30.0,0.5,1.2500636942675158,80.09,0.33805309674680867,621.5,1.2500636942675158,0.09999999982300885,0.3073209970920016,59.99988000024
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,30.0,0.5,1.5,84.63,0.33805309674680867,621.5,1.5,0.09999999982300885,0.3073209970920016,59.99988000024
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,30.0,0.5,1.750063694267516,86.22,0.33805309674680867,621.5,1.750063694267516,0.09999999982300885,0.3073209970920016,59.99988000024
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,30.0,0.5,2.0,88.97,0.33805309674680867,621.5,2.0,0.09999999982300885,0.3073209970920016,59.99988000024
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,60.0,0.8,0.5,76.96,0.33805309674680867,621.5,0.5,0.09999999982300885,0.3073209970920016,74.99990625011718
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,60.0,0.8,1.0,78.85,0.33805309674680867,621.5,1.0,0.09999999982300885,0.3073209970920016,74.99990625011718
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,60.0,0.8,1.2500636942675158,84.48,0.33805309674680867,621.5,1.2500636942675158,0.09999999982300885,0.3073209970920016,74.99990625011718
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,60.0,0.8,1.5,87.4,0.33805309674680867,621.5,1.5,0.09999999982300885,0.3073209970920016,74.99990625011718
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,60.0,0.8,1.750063694267516,89.52,0.33805309674680867,621.5,1.750063694267516,0.09999999982300885,0.3073209970920016,74.99990625011718
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,60.0,0.8,2.0,91.49,0.33805309674680867,621.5,2.0,0.09999999982300885,0.3073209970920016,74.99990625011718
